Subject,University,Semester ,Exam,Marks,Concept,Question,Has_Code,Code_Snippet,Diagram
Structured Programming,Sylhet Engineering College,2023,Semester Final,1,Identifiers,"Which are valid identifiers? If invalid describe the cause.
1._hello,
2. 10person, 
3.  SEC,
4.  function.",NO,,
Structured Programming,Sylhet Engineering College,2023,Semester Final,4,Data Types,"Declare data types & variable to store following values:
i) 44 
ii) 0.0008 
iii) -142633 
iv) -0.3265 
v) 1256325 
vi) 'A' 
vii) 44.999999009 
viii) 22.7",NO,,
Structured Programming,Sylhet Engineering College,2023,Semester Final,2,Data Types,Describe four basic data types. How could we extend the range of values they represent?,NO,,
Structured Programming,Sylhet Engineering College,2023,Semester Final,1,Operators,What is the difference between the two statements? a==5 and a=5.,NO,,
Structured Programming,Sylhet Engineering College,2023,Semester Final,2,Nested Loop,Write the output of the program.,YES,"int i, j;
for(i = 0 ; i < 5; i++)
{
    for(j = i; j < 5; j++)
    {
        if(j % 2 == 0)
            continue;
        printf(""%2d"", j);
    }
    printf(""\n"");
}",
Structured Programming,Sylhet Engineering College,2023,Semester Final,2,Type Casting," What is the value of a?
 int a=12.5*2+'0';",NO,,
Structured Programming,Sylhet Engineering College,2023,Semester Final,4,Conditional Statement,i. Find out the smallest number among three variables with a single statement. ii. What is null statement?,NO,,
Structured Programming,Sylhet Engineering College,2023,Semester Final,4,Pointers,Write Output of the following program:,YES,"void testing(char text[]){
    int i,j,len;
    len=strlen(text);
    for(i=0,j=len-1;i<len;i++,j--) {
        if(text[i]==text[j]) {
            text[i]='*';
            text[j]='#';
        }
    }
}
int main(){
    char str[]=""0010111101"";
    testing(str);
    printf(""%s"", str);
}",
Structured Programming,Sylhet Engineering College,2023,Semester Final,3,Storage Class, What are storage classes?,NO,,
Structured Programming,Sylhet Engineering College,2023,Semester Final,2,Conditional Statement,Explain the decision making statement in c with example programs.,NO,,
Structured Programming,Sylhet Engineering College,2023,Term Test-01,5,Pointers,What are the advantages of using pointer in a program? ,NO,,
Structured Programming,Sylhet Engineering College,2023,Term Test-01,5,Pointers,Write down the output for the above two printf statement.,YES,"int *s,d,*b; d=10; printf(""%d"",s); *b=25;
printf(""%d"",b);",
Structured Programming,Sylhet Engineering College,2021,Semester Final,1,Type Casting,What is type cast?,NO,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,3,Conditional Statement,"Find errors, if any, in each of the following segments: ",YES,"1 .if (x+y = z && y>0)
    printf("" "");

2. if (code > 1);
    a=b+c
   else
    a=0

3. if (p<0) || (q<0)
    printf(""sign is negative"");
",
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Operators,"Assuming x=10, state whether the following logical expression are true or false.",YES,"i. x == 10 && x>10 && !x  
ii. x == 10 || x>10 && !x  
iii. x == 10 && x>10 || !x   
iv. x == 10 || x>10 || !x",
